property_name,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,furnish_type,rating,servant_room,study room,pooja room,store_room,others,luxury_score
2 BHK Flat in Krishna Colony,flat,maa bhagwati residency,sector 7,45.0,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),,,900,2,2,1,"Krishna Colony, Gurgaon, Haryana",4.0,West,Relatively New,"So with lift.Maa bhagwati residency is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in krishna colony is your opportunity to be a part of this community. The flat occupies a carpet area of 900 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the top floor of this 4 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,0,0,0,0,28.0
2 BHK Flat in Ashok Vihar,flat,apna enclave,sector 3,50.0,7692.0,650.03,Carpet area: 650 (60.39 sq.m.),,,650,2,2,1,"46b, Ashok Vihar, Gurgaon, Haryana",1.0,West,Old Property,"Property situated on main road, railway station just 500mtrs, rajeev chowk just 2km, extraordinary security and very good connectivity for entire ncr",2.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,37.0
2 BHK Flat in Sohna,flat,tulsiani easy in homes,sohna road,40.0,6722.0,595.06,Carpet area: 595 (55.28 sq.m.),,,595,2,2,3,"Sohna, Gurgaon, Haryana",12.0,,New Property,"This property is 15 km away from badshapur, gurugram.It's under tunsiani construction call easy in homes right on sohna highway, hardly away from toll plaza...",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,36.0
2 BHK Flat in Sector 61 Gurgaon,flat,smart world orchard,sector 61 ,147.0,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),,,1200,2,2,2,"Sector 61 Gurgaon, Gurgaon, Haryana",2.0,,Under Construction,"Near to metro station of sector 56 and opposite leading 5 star hotel - Hyatt. Posh locality
Prices negotiable",0.0,,0,1,0,0,0,76.0
2 BHK Flat in Sector 92 Gurgaon,flat,parkwood westend,sector 92 ,70.0,5204.0,1345.12,Super Built up area 1345(124.95 sq.m.),1345,,,2,2,3,"Sector 92 Gurgaon, Gurgaon, Haryana",5.0,,Under Construction,"We are the proud owners of this 2 bhk alongwith 1 study room apartment available in parkwood westend, sector-92, gurgaon. This apartmentit is a resale and the unit is located on the 5th floor and has a super built-Up area of 1345. 0 sq. Ft. It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type. The apartment has 1 covered parking and 1 open parking.",0.0,"['Environment5 out of 5', 'Safety3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",0,1,0,0,0,0.0
2 BHK Flat in Sector 36 Gurgaon,flat,signature global infinity mall,sector 36 ,41.0,6269.0,654.01,Built Up area: 654 (60.76 sq.m.),,654,,2,2,3,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3.0,,Undefined,Best in class property available at sector 36 sohna location in gurgaon,0.0,,0,0,0,0,0,0.0
3 BHK Flat in Dwarka Expressway Gurgaon,flat,the cocoon,dwarka expressway ,200.0,13333.0,1500.04,Super Built up area 1500(139.35 sq.m.),1500,,,3,3,3,"Dwarka Expressway Gurgaon, Gurgaon, Haryana",5.0,,New Property,Residential apartment for sell.The property comes with a good construction quality which ages 0-1 years old propertylocated in dwarka expressway gurgaon.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 20000000.Located on 5th floor out of the 25,0.0,,0,0,0,0,0,0.0
3 BHK Flat in Sector 104 Gurgaon,flat,ats triumph,sector 104 ,180.0,7860.0,2290.08,Carpet area: 2290 (212.75 sq.m.),,,2290,3,4,3,"Sector 104 Gurgaon, Gurgaon, Haryana",14.0,,New Property,"Ats triumph is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 104 gurgaon is your opportunity to be a part of this community. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 2290 sq.Ft. The residential building has 27 floors in total and the flat for sale is located on the 14th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Many of the modern amenities being offered, like swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.",0.0,"['Green Area4 out of 5', 'Amenities4.5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",0,0,0,0,0,60.0
2 BHK Flat in Sector 88B Gurgaon,flat,vatika xpressions,sector 88b ,110.0,8148.0,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),,1350,1050,2,4,3+,"H 23, Sector 88B Gurgaon, Gurgaon, Haryana",2.0,North-East,Under Construction,"We are the proud owners of this 2 bhk apartment available in vatika xpressions, sector-88b, gurgaon. This unfurnished apartment, priced approximately at rs. 10000 per sq. Meter or rs. 90 lakhs. It will be ready for possession by 2020. It is a resale and an under construction apartment. The unit is located on the 2nd floor and has a super built-Up area of 900 sq. Meter. It is a feng shui/vaastu compliant and has ceramic flooring. It has 4 bathroom(s) and more than 3 balcony(s). The ownership is leasehold type. The property offers the best in class facilities such as club house/community center, fitness centre/gym, intercom facility, lift(s), swimming pool, security personnel, park and rain water harvestin. It is positioned in a gated society. It offers an excellent view of the park/garden, main road, club and pool. The apartment has 1 covered parking.",0.0,,0,1,0,0,0,58.0
3 BHK Flat in Sector 78 Gurgaon,flat,raheja revanta,sector 78 ,475.0,16885.0,2813.15,Built Up area: 2813 (261.34 sq.m.),,2813,,3,3,2,"Sector 78 Gurgaon, Gurgaon, Haryana",31.0,,Under Construction,"This 3 bhk flat is located in raheja revanta, which houses some of the most spacious flats in sector 78 gurgaon. The flat is over 2813 sq.Ft. Built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 31st level of a 40 storey building. Moreover, the flat is currently under construction and possession is expected by december 2023. It is facing the aravallis forest.",0.0,"['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",1,0,0,0,0,100.0
