property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,maa bhagwati residency,sector 7,45.0,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),,,900.0,2,2,1,4.0,West,Relatively New,0.0,0,0,0,0,0,28.0
flat,apna enclave,sector 3,50.0,7692.0,650.03,Carpet area: 650 (60.39 sq.m.),,,650.0,2,2,1,1.0,West,Old Property,2.0,0,0,0,0,0,37.0
flat,tulsiani easy in homes,sohna road,40.0,6722.0,595.06,Carpet area: 595 (55.28 sq.m.),,,595.0,2,2,3,12.0,,New Property,0.0,0,0,0,0,0,36.0
flat,smart world orchard,sector 61 ,147.0,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),,,1200.0,2,2,2,2.0,,Under Construction,0.0,0,1,0,0,0,76.0
flat,parkwood westend,sector 92 ,70.0,5204.0,1345.12,Super Built up area 1345(124.95 sq.m.),1345.0,,,2,2,3,5.0,,Under Construction,0.0,0,1,0,0,0,0.0
flat,signature global infinity mall,sector 36 ,41.0,6269.0,654.01,Built Up area: 654 (60.76 sq.m.),,654.0,,2,2,3,3.0,,Undefined,0.0,0,0,0,0,0,0.0
flat,the cocoon,dwarka expressway ,200.0,13333.0,1500.04,Super Built up area 1500(139.35 sq.m.),1500.0,,,3,3,3,5.0,,New Property,0.0,0,0,0,0,0,0.0
flat,ats triumph,sector 104 ,180.0,7860.0,2290.08,Carpet area: 2290 (212.75 sq.m.),,,2290.0,3,4,3,14.0,,New Property,0.0,0,0,0,0,0,60.0
flat,vatika xpressions,sector 88b ,110.0,8148.0,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),,1350.0,1050.0,2,4,3+,2.0,North-East,Under Construction,0.0,0,1,0,0,0,58.0
flat,raheja revanta,sector 78 ,475.0,16885.0,2813.15,Built Up area: 2813 (261.34 sq.m.),,2813.0,,3,3,2,31.0,,Under Construction,0.0,1,0,0,0,0,100.0
flat,signature global city 81,sector 81 ,96.0,9767.0,982.9,Carpet area: 1075 (99.87 sq.m.),,,1075.0,2,2,2,1.0,,Under Construction,0.0,0,0,0,0,0,49.0
flat,hcbs sports ville,sohna road,29.0,5587.0,519.06,Carpet area: 519 (48.22 sq.m.),,,519.0,2,2,1,4.0,,Relatively New,0.0,0,0,0,0,0,44.0
flat,supertech araville,sector 79 ,135.0,6940.0,1945.24,Carpet area: 1945 (180.7 sq.m.),,,1945.0,3,3,3,4.0,,Relatively New,0.0,0,0,0,0,0,0.0
flat,godrej,sector 33 ,95.0,6859.0,1385.04,Super Built up area 1385(128.67 sq.m.),1385.0,,,2,2,3+,3.0,South-East,Under Construction,0.0,0,0,0,0,0,0.0
flat,shree vardhman flora,sector 90 ,70.0,5384.0,1300.15,Super Built up area 1300(120.77 sq.m.),1300.0,,,2,2,3,13.0,,New Property,0.0,0,1,0,0,0,15.0
flat,sobha city,sector 108 ,395.0,16859.0,2342.96,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),,2343.0,2300.0,4,5,3,25.0,,Undefined,0.0,0,0,0,0,0,59.0
flat,senate court,sector 62 ,90.0,14084.0,639.02,Built Up area: 639 (59.37 sq.m.),,639.0,,1,1,0,0.0,,Undefined,0.0,0,0,0,0,0,0.0
flat,shapoorji pallonji joyville gurugram,sector 102 ,105.0,11475.0,915.03,Carpet area: 915 (85.01 sq.m.),,,915.0,2,2,2,0.0,,Under Construction,0.0,0,0,0,0,0,49.0
flat,central park flower valley,sector 33,220.00000000000003,10476.0,2100.04,Super Built up area 2100(195.1 sq.m.),2100.0,,,3,3,3,12.0,North-East,New Property,2.0,1,0,0,0,0,49.0
