property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,maa bhagwati residency,sector 7,45.0,5000.0,1000.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,28.0
flat,apna enclave,sector 3,50.0,7692.0,722.0,2,2,1,1.0,Old Property,2.0,0,0,0,0,0,37.0
flat,tulsiani easy in homes,sohna road,40.0,6722.0,661.0,2,2,3,12.0,New Property,0.0,0,0,0,0,0,36.0
flat,smart world orchard,sector 61 ,147.0,12250.0,1333.0,2,2,2,2.0,Under Construction,0.0,0,1,0,0,0,76.0
flat,parkwood westend,sector 92 ,70.0,5204.0,1217.0,2,2,3,5.0,Under Construction,0.0,0,1,0,0,0,0.0
flat,signature global infinity mall,sector 36 ,41.0,6269.0,654.0,2,2,3,3.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,the cocoon,dwarka expressway ,200.0,13333.0,1358.0,3,3,3,5.0,New Property,0.0,0,0,0,0,0,0.0
flat,ats triumph,sector 104 ,180.0,7860.0,2544.0,3,4,3,14.0,New Property,0.0,0,0,0,0,0,60.0
flat,vatika xpressions,sector 88b ,110.0,8148.0,1350.0,2,4,3+,2.0,Under Construction,0.0,0,1,0,0,0,58.0
flat,raheja revanta,sector 78 ,475.0,16885.0,2813.0,3,3,2,31.0,Under Construction,0.0,1,0,0,0,0,100.0
flat,signature global city 81,sector 81 ,96.0,9767.0,1194.0,2,2,2,1.0,Under Construction,0.0,0,0,0,0,0,49.0
flat,hcbs sports ville,sohna road,29.0,5587.0,577.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,44.0
flat,supertech araville,sector 79 ,135.0,6940.0,2161.0,3,3,3,4.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,godrej,sector 33 ,95.0,6859.0,1254.0,2,2,3+,3.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,shree vardhman flora,sector 90 ,70.0,5384.0,1177.0,2,2,3,13.0,New Property,0.0,0,1,0,0,0,15.0
flat,sobha city,sector 108 ,395.0,16859.0,2343.0,4,5,3,25.0,Relatively New,0.0,0,0,0,0,0,59.0
flat,senate court,sector 62 ,90.0,14084.0,639.0,1,1,0,0.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,shapoorji pallonji joyville gurugram,sector 102 ,105.0,11475.0,1017.0,2,2,2,0.0,Under Construction,0.0,0,0,0,0,0,49.0
flat,central park flower valley,sector 33,220.00000000000003,10476.0,1901.0,3,3,3,12.0,New Property,2.0,1,0,0,0,0,49.0
flat,smart world gems,sector 89 ,101.0,9156.0,1225.0,2,2,2,4.0,Under Construction,0.0,0,1,0,0,0,38.0
flat,bestech altura,sector 79 ,185.0,8604.0,1946.0,3,4,3+,11.0,New Property,0.0,1,0,0,0,0,49.0
flat,smart world gems,sector 89 ,86.0,7796.0,998.0,2,3,3,4.0,Under Construction,0.0,0,0,0,0,0,45.0
flat,emaar imperial gardens,sector 102 ,185.0,9135.0,2250.0,3,3,3+,0.0,Relatively New,2.0,1,0,0,0,0,95.0
flat,la vida by tata housing,sector 113 ,285.0,12855.0,2007.0,3,3,3+,10.0,New Property,0.0,1,0,0,0,0,72.0
flat,the serenas,sector 36 ,42.0,7910.0,590.0,2,2,1,3.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,m3m golfestate,sector 65 ,615.0,18331.0,3355.0,3,4,2,20.0,Relatively New,0.0,0,0,0,0,0,34.0
flat,central park resort belgravia residences,sector 48 ,625.0,24300.0,3200.0,3,5,3+,5.0,Moderately Old,2.0,1,0,0,0,0,49.0
flat,apex builders,sector 37c ,42.0,5600.0,833.0,2,2,2,4.0,Relatively New,0.0,0,0,0,0,0,42.0
flat,godrej habitat,sector 3 ,135.0,12784.0,1056.0,2,2,0,4.0,Under Construction,0.0,0,0,0,0,0,60.0
flat,ompee k s residency,new sector 2,160.0,26936.0,73.0,2,2,2,1.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,bhawna cghs,sector 43 ,325.0,10156.0,3115.0,4,4,3+,12.0,Moderately Old,2.0,0,0,1,0,0,119.0
