property_type,sector,builtup,bedRoom,bathroom,balcony,agePossession,furnish_type,servant_room,store_room,luxury_score_category,floorNum_category,price
0.0,104.0,1000.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,45.0
0.0,47.0,722.0,2,2,1.0,2.0,2.0,0,0,1.0,1.0,50.0
0.0,139.0,661.0,2,2,3.0,1.0,0.0,0,0,1.0,0.0,40.0
0.0,94.0,1333.0,2,2,2.0,4.0,0.0,0,0,2.0,1.0,147.0
0.0,133.0,1217.0,2,2,3.0,4.0,0.0,0,0,1.0,2.0,70.0
0.0,56.0,654.0,2,2,3.0,3.0,0.0,0,0,1.0,2.0,41.0
0.0,0.0,1358.0,3,3,3.0,1.0,0.0,0,0,1.0,2.0,200.0
0.0,9.0,2544.0,3,4,3.0,1.0,0.0,0,0,2.0,0.0,180.0
0.0,127.0,1350.0,2,4,4.0,4.0,0.0,0,0,2.0,1.0,110.0
0.0,114.0,2813.0,3,3,2.0,4.0,0.0,1,0,2.0,0.0,475.0
0.0,119.0,1194.0,2,2,2.0,4.0,0.0,0,0,1.0,1.0,96.0
0.0,139.0,577.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,29.0
0.0,115.0,2161.0,3,3,3.0,3.0,0.0,0,0,1.0,2.0,135.0
0.0,54.0,1254.0,2,2,4.0,4.0,0.0,0,0,1.0,2.0,95.0
0.0,131.0,1177.0,2,2,3.0,1.0,0.0,0,0,1.0,0.0,70.0
0.0,14.0,2343.0,4,5,3.0,3.0,0.0,0,0,2.0,0.0,395.0
0.0,95.0,639.0,1,1,0.0,3.0,0.0,0,0,1.0,1.0,90.0
0.0,6.0,1017.0,2,2,2.0,4.0,0.0,0,0,1.0,1.0,105.0
0.0,53.0,1901.0,3,3,3.0,1.0,2.0,1,0,1.0,0.0,220.00000000000003
0.0,128.0,1225.0,2,2,2.0,4.0,0.0,0,0,1.0,2.0,101.0
0.0,115.0,1946.0,3,4,4.0,1.0,0.0,1,0,1.0,0.0,185.0
0.0,128.0,998.0,2,3,3.0,4.0,0.0,0,0,1.0,2.0,86.0
0.0,6.0,2250.0,3,3,4.0,3.0,2.0,1,0,2.0,1.0,185.0
0.0,22.0,2007.0,3,3,4.0,1.0,0.0,1,0,2.0,2.0,285.0
0.0,56.0,590.0,2,2,1.0,3.0,0.0,0,0,1.0,2.0,42.0
0.0,98.0,3355.0,3,4,2.0,3.0,0.0,0,0,1.0,0.0,615.0
0.0,73.0,3200.0,3,5,4.0,0.0,2.0,1,0,1.0,2.0,625.0
0.0,58.0,833.0,2,2,2.0,3.0,0.0,0,0,1.0,2.0,42.0
0.0,48.0,1056.0,2,2,0.0,4.0,0.0,0,0,2.0,2.0,135.0
0.0,4.0,73.0,2,2,2.0,3.0,0.0,0,0,1.0,1.0,160.0
0.0,67.0,3115.0,4,4,4.0,0.0,2.0,0,0,2.0,0.0,325.0
0.0,126.0,694.0,2,2,1.0,1.0,0.0,0,0,1.0,2.0,45.0
0.0,133.0,1300.0,3,2,2.0,3.0,0.0,0,0,1.0,0.0,85.0
0.0,131.0,1444.0,2,2,3.0,3.0,0.0,0,0,2.0,2.0,75.0
0.0,102.0,1068.0,2,2,4.0,4.0,0.0,0,0,2.0,0.0,82.0
0.0,15.0,1910.0,3,3,2.0,0.0,0.0,1,0,2.0,1.0,180.0
