,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score,coordinates,latitude,longitude
0,flat,maa bhagwati residency,sector 7,45.0,5000.0,1000.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,28.0,"28.4644° N, 77.0143° E",28.4644,77.0143
1,flat,apna enclave,sector 3,50.0,7692.0,722.0,2,2,1,1.0,Old Property,2.0,0,0,0,0,0,37.0,"28.4909° N, 77.0176° E",28.4909,77.0176
2,flat,central park flower valley,sector 33,220.00000000000003,10476.0,1901.0,3,3,3,12.0,New Property,2.0,1,0,0,0,0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
3,flat,dlf regency park,sector 28,160.0,14545.0,1222.0,2,2,2,3.0,Relatively New,0.0,0,0,0,0,0,52.0,"28.4728° N, 77.0865° E",28.4728,77.0865
4,flat,deepak minda,manesar,125.0,4715.0,2945.0,4,4,3+,6.0,Moderately Old,2.0,0,0,0,0,0,44.0,"28.3515° N, 76.9428° E",28.3515,76.9428
5,flat,huda ashok vihar phase,sector 4,43.0,6615.0,722.0,2,2,1,2.0,Relatively New,0.0,0,0,0,0,0,48.0,"28.4738° N, 77.0107° E",28.4738,77.0107
6,flat,godrej nature plus,sector 33,175.0,8768.0,1996.0,3,3,0,2.0,Under Construction,0.0,0,0,0,0,0,24.0,"28.4420° N, 77.0207° E",28.442,77.0207
7,flat,central park flower valley aqua front towers,sector 33,210.0,11738.0,1619.0,3,3,2,6.0,Under Construction,0.0,0,0,0,0,0,65.0,"28.4420° N, 77.0207° E",28.442,77.0207
8,flat,godrej nature plus,sector 33,190.0,9849.0,2143.0,3,3,3+,14.0,New Property,0.0,1,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
9,flat,not applicable,sector 4,42.0,5600.0,833.0,2,2,1,3.0,Relatively New,1.0,0,0,0,0,0,57.0,"28.4738° N, 77.0107° E",28.4738,77.0107
10,flat,godrej nature plus,sector 33,155.0,9955.0,1730.0,3,2,3+,8.0,New Property,0.0,0,0,0,0,0,105.0,"28.4420° N, 77.0207° E",28.442,77.0207
11,flat,sushant lok 1 builder floors,sector 43,250.0,12920.0,195.0,3,3,2,2.0,New Property,0.0,0,0,0,0,0,55.0,"28.4629° N, 77.0772° E",28.4629,77.0772
12,flat,central park flower valley aqua front towers,sector 33,170.0,9502.0,1619.0,3,3,3,12.0,Under Construction,2.0,0,0,0,0,0,28.0,"28.4420° N, 77.0207° E",28.442,77.0207
13,flat,godrej nature plus,sector 33,145.0,15664.0,96.0,3,2,3+,20.0,Under Construction,0.0,0,1,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
14,flat,palam vihar society,sector 2,335.0,7444.0,4999.0,4,4,3+,2.0,New Property,0.0,0,1,0,0,0,0.0,"28.5095° N, 77.0320° E",28.5095,77.032
15,flat,suncity vatsal valley,gwal pahari,145.0,10139.0,1430.0,3,3,3,4.0,Under Construction,0.0,0,0,0,0,0,0.0,"28.4484° N, 77.0210° E",28.4484,77.021
16,flat,malibu towne,sector 47,240.0,10000.0,2666.0,3,3,0,0.0,Moderately Old,0.0,0,0,0,0,0,52.0,"28.4276° N, 77.0492° E",28.4276,77.0492
17,flat,maruti vihar colony,sector 28,95.0,8886.0,1188.0,2,1,1,1.0,Old Property,0.0,0,0,0,0,0,60.0,"28.4728° N, 77.0865° E",28.4728,77.0865
18,flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,45.0,4705.0,944.0,2,2,1,0.0,Relatively New,2.0,0,0,0,0,0,16.0,"28.4738° N, 77.0107° E",28.4738,77.0107
19,flat,"m m residency, krishna colony, gurgaon",sector 7,54.0,5888.0,1000.0,2,2,1,3.0,Relatively New,0.0,0,0,0,0,0,48.0,"28.4644° N, 77.0143° E",28.4644,77.0143
20,flat,signature global park 4,sector 36,82.0,7585.0,850.0,3,2,2,2.0,New Property,0.0,0,0,0,0,0,31.0,"28.4160° N, 76.9914° E",28.416,76.9914
21,flat,godrej nature plus,sector 33,165.0,14335.0,1279.0,2,2,3,1.0,Under Construction,0.0,0,0,0,0,0,146.0,"28.4420° N, 77.0207° E",28.442,77.0207
22,flat,sonata group housing gh 24,manesar,165.0,5892.0,3111.0,4,3,3,8.0,New Property,0.0,1,0,0,0,0,54.0,"28.3515° N, 76.9428° E",28.3515,76.9428
23,flat,hsiidc sidco aravali,manesar,90.0,3648.0,2233.0,4,4,3,7.0,Moderately Old,0.0,0,0,0,0,0,68.0,"28.3515° N, 76.9428° E",28.3515,76.9428
24,flat,bestech park view residency,sector 2,140.0,7865.0,1611.0,3,3,3+,6.0,Old Property,2.0,0,0,0,0,0,104.0,"28.5095° N, 77.0320° E",28.5095,77.032
25,flat,godrej nature plus,sector 33,140.0,9333.0,1448.0,2,2,3,14.0,Under Construction,0.0,0,0,0,0,0,152.0,"28.4420° N, 77.0207° E",28.442,77.0207
26,flat,dlf carlton estate,sector 43,200.0,14214.0,1273.0,3,3,2,5.0,Moderately Old,0.0,0,0,0,0,0,119.0,"28.4629° N, 77.0772° E",28.4629,77.0772
27,flat,the close north,sector 50,300.0,11516.0,2358.0,3,3,3+,14.0,Old Property,1.0,1,0,0,0,0,107.0,"28.4178° N, 77.0628° E",28.4178,77.0628
28,flat,godrej nature plus,sector 33,167.0,10500.0,1856.0,3,2,2,18.0,Under Construction,0.0,0,0,0,0,0,101.0,"28.4420° N, 77.0207° E",28.442,77.0207
29,flat,dlf belvedere towers,sector 25,370.0,17619.0,2333.0,4,4,3,18.0,Old Property,0.0,1,0,0,0,0,45.0,"28.4844° N, 77.0860° E",28.4844,77.086
30,flat,bestech park view residency,sector 2,140.0,7865.0,1611.0,3,3,3+,6.0,Old Property,2.0,0,0,0,0,0,121.0,"28.5095° N, 77.0320° E",28.5095,77.032
31,flat,dlf carlton estate,sector 43,200.0,14214.0,1273.0,3,3,2,5.0,Moderately Old,2.0,0,0,0,0,0,26.0,"28.4629° N, 77.0772° E",28.4629,77.0772
32,flat,the close north,sector 50,300.0,11516.0,2358.0,3,3,3+,14.0,Old Property,1.0,1,0,0,0,0,128.0,"28.4178° N, 77.0628° E",28.4178,77.0628
33,flat,dlf belvedere towers,sector 25,370.0,17619.0,2333.0,4,4,3,18.0,Old Property,0.0,1,0,0,0,0,68.0,"28.4844° N, 77.0860° E",28.4844,77.086
34,flat,godrej nature plus,sector 33,107.0,7725.0,1254.0,2,2,2,14.0,Under Construction,0.0,0,0,0,0,0,89.0,"28.4420° N, 77.0207° E",28.442,77.0207
35,flat,godrej nature plus,sector 33,127.0,9182.0,1252.0,2,2,3+,9.0,Under Construction,2.0,0,0,0,0,0,31.0,"28.4420° N, 77.0207° E",28.442,77.0207
36,flat,bestech park view residency,sector 2,118.0,7539.0,1416.0,2,2,3,5.0,Old Property,0.0,0,1,0,0,0,109.0,"28.5095° N, 77.0320° E",28.5095,77.032
37,flat,bestech park view residency,sector 2,155.0,8072.0,1738.0,3,4,3+,4.0,Old Property,0.0,1,0,0,0,0,72.0,"28.5095° N, 77.0320° E",28.5095,77.032
38,flat,dlf regency park,sector 28,225.0,14516.0,1700.0,3,3,2,16.0,Old Property,0.0,1,0,0,0,0,53.0,"28.4728° N, 77.0865° E",28.4728,77.0865
